,target
339722,0
207496,0
328247,0
341274,0
3585,0
367836,0
171572,0
325514,0
269763,0
251251,0
354494,0
380707,0
253474,0
129061,0
210251,0
221982,0
77407,0
259381,0
346748,0
190220,0
238611,0
126460,0
189347,0
324801,0
266857,0
78894,0
174754,0
156211,0
176963,0
348718,0
238646,0
178145,0
10538,0
53206,0
159008,0
323318,0
266909,1
198715,0
331201,0
220934,0
151393,0
103349,0
73070,0
276247,0
288976,0
198935,0
204338,0
30212,0
237296,0
60616,0
266102,0
387568,0
181649,0
371297,0
374030,0
41491,0
58956,0
50158,0
196061,0
384913,0
325070,0
341648,0
177011,0
360382,0
25169,0
310626,0
18727,0
218201,0
67183,0
224245,0
110422,0
291437,0
3995,0
235872,0
244602,0
78556,0
79899,0
332749,0
167881,0
346420,0
383565,0
200158,0
161000,0
26950,0
186085,0
342697,0
251038,0
212138,0
96287,0
220127,0
300547,1
334224,0
131768,0
340330,0
239253,0
11954,0
2225,0
237620,0
275172,0
133097,0
155169,0
215996,0
45281,0
213853,0
253525,0
203196,0
186222,0
24492,0
317775,0
207636,0
159127,0
309281,0
369128,0
239122,0
340542,0
299420,0
345774,0
367184,0
158337,0
363839,0
61449,0
388555,0
297210,0
71486,0
235822,0
382800,0
280675,0
16989,0
61201,0
238238,0
349484,0
264391,0
9548,0
288305,1
282190,0
282351,0
190342,0
49138,0
335634,0
304794,0
374416,0
6720,0
69154,0
134373,0
302526,0
391552,0
235000,0
146921,0
338110,0
200182,0
316361,0
44421,0
315702,0
231099,0
30138,0
313652,0
312888,0
357756,0
311685,0
266531,0
271622,0
241808,0
124895,0
184486,0
180393,0
160710,0
83861,0
200622,0
187520,0
179179,0
267390,0
158972,0
28133,0
286228,0
378742,0
186922,0
231485,0
327821,0
298849,0
68269,0
131339,0
290956,0
80973,0
82703,0
59833,0
274458,0
200461,0
11186,0
152138,0
90742,0
350548,0
94958,0
221311,0
30007,0
115113,0
64214,0
351695,0
319832,0
325734,0
324598,0
63855,0
365672,0
15464,0
31523,0
58259,0
108774,0
142658,0
26527,0
377854,0
229476,0
13885,0
3228,0
375754,0
293443,0
276670,1
178813,0
44417,0
379287,0
166089,0
177721,0
209277,0
247321,0
266614,0
55764,0
364712,0
96632,0
334491,0
137108,0
103985,0
375622,0
212229,0
245016,0
175894,0
3963,0
223901,0
99040,0
161985,0
337178,0
297373,0
338028,0
314479,0
35506,0
38166,0
207662,0
174030,0
269491,0
189618,0
257146,0
220427,0
257281,0
372458,0
244931,0
376019,0
341978,0
344547,0
223448,0
60083,0
244162,0
177381,0
121870,0
369989,0
229038,0
230064,0
284969,0
252635,0
162633,0
319549,0
272146,0
162384,0
316376,0
177257,0
258571,0
151197,0
282589,0
91986,0
190292,0
388445,0
140983,0
193530,0
227708,0
12961,0
347981,0
15001,0
87734,0
246677,0
118405,0
106769,0
365340,0
8949,0
373535,0
270078,0
49018,0
358066,0
327578,0
170587,0
216658,0
135732,0
99368,0
369974,0
166145,0
32968,0
35293,0
282172,0
325875,0
226855,0
206645,0
278080,0
28125,0
119062,0
115201,0
382180,0
53555,0
260655,0
214007,0
34741,0
74189,0
138350,0
111710,0
53072,0
321105,0
390900,0
82886,0
326538,0
61933,1
213979,0
148543,0
43600,0
156670,0
112649,0
51337,0
231231,0
205068,0
193633,0
67696,0
173586,0
17921,0
18359,0
283183,0
214590,0
245079,0
187321,0
110807,0
269137,0
137226,0
346295,0
41887,0
365280,0
332501,0
224844,0
40467,0
152246,0
76678,0
267303,0
82050,0
184542,0
50739,0
329835,0
297474,0
190507,0
192703,0
361688,0
357754,0
80920,0
33274,0
116000,0
366202,0
319417,0
192935,1
310539,0
125089,0
361429,0
370858,0
44596,0
346131,0
308070,0
132198,0
358213,0
329704,0
229382,0
255678,0
255828,0
293408,0
309691,0
20978,0
242080,0
101652,0
319752,0
235968,0
365805,0
80584,0
294664,0
114908,0
312948,0
39812,0
127754,0
248635,0
68520,0
225137,0
188734,0
179668,0
175051,0
19339,0
230283,0
121676,0
163954,0
84297,0
359261,0
110255,0
175432,0
243389,0
121545,0
150607,0
87480,0
270458,0
211059,0
108462,0
206536,0
63927,0
371796,0
332549,0
369798,0
292755,0
224183,0
340692,0
180666,0
54593,0
385529,0
344358,0
78601,0
288809,0
184688,0
124016,0
102270,0
130425,0
13729,0
234396,0
212108,0
247548,0
321516,0
96881,0
327274,0
233167,0
40642,0
195344,0
197512,0
55346,0
264744,0
159923,0
287178,0
363011,0
75493,0
341216,0
238478,0
212379,0
205682,0
240468,0
202563,0
322106,0
88050,0
9719,0
170091,0
283319,0
70586,0
63706,0
141617,0
384123,0
348483,0
139713,0
94310,0
272848,0
161038,0
153789,0
257631,0
329922,0
99397,0
348529,0
308337,0
45254,0
305240,0
345933,0
27409,0
72803,0
381689,0
200273,0
307788,0
49443,0
203812,0
178996,0
230915,0
303939,0
333858,0
159857,0
79860,0
235757,0
8861,0
376914,0
221093,0
306674,0
371824,1
215675,0
121322,0
147528,0
120103,0
100506,0
159276,0
92283,0
92421,0
342431,0
103653,0
227562,0
208725,0
164107,0
260342,0
379069,0
26458,0
277149,0
89075,0
389893,0
20605,0
6031,0
343334,0
9901,0
15827,0
374774,0
155385,0
261238,0
129115,0
83139,0
195957,0
14196,0
219851,0
175185,0
284400,0
338461,0
374288,0
67819,0
104441,0
9018,0
85520,0
137533,0
89791,0
73810,0
276787,1
250035,0
123220,0
330321,0
214130,0
76034,0
382152,0
182686,0
6365,0
38989,0
333048,0
57627,0
72527,0
129356,0
340148,0
146753,0
149956,0
168756,0
365101,0
225147,0
343698,0
271480,0
303425,0
292965,0
81440,0
105767,0
122996,0
299239,0
349699,0
356357,0
144185,0
223802,0
244683,0
88638,0
247290,0
247993,0
223376,0
17873,0
246102,0
26373,0
214202,0
71112,0
353098,0
44773,0
36692,0
232141,0
335392,0
370707,0
215280,0
98219,0
187048,0
310828,0
254110,0
195769,0
64685,0
156111,0
4272,0
284659,0
185631,0
163373,0
129182,0
346212,0
293891,0
122512,0
369861,0
129839,0
228271,0
337766,0
223361,0
89214,0
91189,0
10180,0
228553,1
227021,0
63899,0
262921,0
41218,0
331811,0
111400,0
367833,0
54346,0
333809,0
91855,0
38887,0
286393,0
77030,0
252695,0
337561,0
312905,0
342284,0
233972,0
82756,0
158131,0
293019,0
332772,0
205032,0
379233,0
12017,0
107819,0
242978,0
258231,0
377969,0
196878,0
102939,0
158544,0
304161,0
86432,0
134025,0
277175,0
361587,0
346372,0
105789,0
144737,0
61507,0
136492,0
160658,0
169886,0
12608,0
6839,0
391243,0
112535,0
225805,0
167578,0
250917,0
6512,0
362391,0
128150,0
112331,0
262011,0
242626,0
5381,0
59381,0
219304,0
171911,0
341910,0
56691,0
157218,0
391731,0
223474,0
226467,0
187606,0
58389,0
303988,0
121971,0
238295,0
77560,0
111496,0
375857,0
380288,0
329375,0
247790,0
191319,0
224159,0
377559,0
134106,0
308992,0
303766,0
338545,0
178564,0
293426,0
226851,0
310380,0
29671,1
43281,0
347610,0
388891,0
50694,0
176085,0
299064,0
165982,0
111380,0
90325,0
288582,0
73800,0
271093,0
123744,0
238000,0
300294,0
359478,0
342023,0
4361,0
5902,0
180271,0
359055,0
66025,1
290213,0
305613,0
381719,0
47912,0
342449,0
78478,0
24370,0
68037,0
181015,0
80457,0
88412,0
122436,0
86219,0
303124,0
158793,0
237917,1
56634,0
105653,0
164611,0
32995,0
313199,1
351884,0
225019,0
155230,0
126103,0
164750,0
161500,0
125564,0
156558,0
184998,0
305504,0
266696,0
47602,0
372977,0
17918,0
175658,0
9732,0
229413,0
145038,0
108554,0
391855,0
131145,0
108154,0
303305,0
81076,0
1549,0
340943,0
206902,0
245709,0
310683,0
20778,0
388180,0
45992,0
20740,0
128571,0
345158,0
14469,0
256078,0
210181,0
283028,0
372423,0
247151,0
275982,0
2889,0
345294,0
30969,0
168338,0
288739,0
89719,0
271776,0
266061,0
196989,0
370665,0
289892,0
202206,0
105831,0
124723,0
315516,0
110721,0
78871,0
124407,0
114704,0
41738,0
51814,0
183739,0
207768,0
189489,0
179385,0
311778,0
318437,0
173832,0
7292,0
336642,0
132087,0
103794,0
288797,0
46867,0
137115,0
95713,0
162992,0
94350,0
387869,0
55874,0
18529,0
26898,0
310603,0
206095,0
251305,0
254543,0
5912,0
285538,0
116196,0
329068,0
278828,0
218829,0
278690,0
290571,0
284223,0
1303,0
2808,0
94659,0
333959,0
3496,0
66997,0
236103,0
29627,0
348923,0
324510,1
309812,0
371291,0
351941,0
223126,0
241852,0
320017,0
229594,0
343070,0
115251,0
107946,0
317805,0
140521,0
296899,0
156361,0
306142,0
228614,0
308152,0
363067,0
95070,0
367396,0
270785,0
364900,0
294325,0
318378,0
385850,0
70673,0
333452,0
308664,0
6526,0
243742,0
391676,0
332240,0
159009,0
227970,0
350276,0
266181,0
109405,0
209930,0
342451,0
69376,0
56068,0
112361,0
267675,0
145904,0
378236,0
231809,0
361739,0
340776,0
272870,0
275141,0
352412,0
251104,0
61162,0
134156,0
102523,0
344250,0
162323,0
145545,0
92641,0
338924,0
213086,0
73764,0
225724,0
269366,0
84849,0
292094,0
288936,0
133309,0
247406,0
341599,0
363581,0
193613,0
190323,0
63991,0
16411,0
40947,0
99653,0
175442,0
131895,0
350579,0
120857,0
205003,0
335422,0
292519,0
131855,0
83526,0
130296,0
72154,0
334815,0
291696,0
45478,0
223146,0
227279,0
195093,0
60529,0
331747,0
266671,0
38075,0
317393,0
216085,0
24023,0
57233,0
164469,0
265992,0
221884,0
194672,0
344252,0
205132,0
274204,0
373063,0
379219,0
202872,0
256948,0
36468,0
392040,0
364871,0
72056,0
358377,0
355038,0
128278,1
306691,0
391084,0
178800,0
36696,0
259818,0
349035,0
271754,0
23085,0
315184,0
254996,0
113489,0
271060,0
88220,0
354337,0
339539,0
302183,0
267874,0
239704,0
236703,0
40490,0
216521,1
272333,0
210015,0
365416,0
207615,0
355423,0
198512,0
78289,0
271743,0
80237,0
154518,0
46513,0
186405,0
203441,0
99615,0
252660,0
176754,0
116926,0
310527,0
225839,0
237989,0
86855,0
236399,0
47646,0
103688,0
195342,0
227343,0
279868,0
175908,0
241213,0
128990,0
10518,0
43804,0
210966,0
216630,0
332959,0
331479,0
77132,0
268955,0
384438,0
380315,0
333281,0
216700,0
281142,0
15586,0
175439,0
349673,0
153783,0
89990,0
218122,0
268191,0
382283,0
189483,0
269412,0
39486,1
367300,0
43075,0
191662,0
388834,0
222383,0
127414,0
217987,0
335966,0
146036,0
358123,0
300123,0
105427,0
311774,0
308040,0
5677,0
124219,0
202925,0
333651,0
352117,0
266779,0
368072,0
268038,0
165184,0
355037,0
314460,0
55439,0
187677,1
121615,0
240003,0
127274,0
162111,0
20322,0
102963,0
310956,0
199271,0
385175,0
317932,0
233032,0
26788,0
1557,0
239940,0
354594,0
116248,0
251052,0
293160,0
298377,0
334254,0
119846,0
141783,0
276338,0
162048,1
115282,0
96764,0
349396,0
97461,0
389655,0
137005,0
133875,0
275606,0
99226,0
14724,0
110714,0
258090,0
312589,0
159460,0
337434,0
338305,0
32085,1
36456,0
259520,0
362378,0
40915,0
289809,0
385727,0
121667,0
102396,0
233490,0
108853,0
339087,1
205134,0
389056,0
71922,0
140230,0
28419,0
351827,0
158704,0
131876,0
274173,0
386996,0
370270,1
273099,0
371631,0
6035,0
72171,0
182277,0
354566,0
120210,0
91108,0
158930,0
328363,0
137251,0
355317,0
31652,0
156941,0
296530,0
47203,0
192086,0
342787,0
201692,0
168972,0
185881,0
152856,0
187151,0
193208,0
212432,0
163755,0
260928,0
241418,0
374549,0
148927,0
259816,0
305495,0
92316,0
113436,0
358136,0
79710,0
215891,0
55888,0
198061,0
257431,0
116989,0
84175,0
42950,0
316290,0
185230,0
201940,0
373468,0
101800,0
60372,0
346141,0
12062,0
270877,0
121109,0
199122,0
126038,0
2611,0
287796,0
310633,0
100543,0
111539,0
95395,0
61114,0
291034,0
312422,0
247497,0
174234,0
102040,0
78366,0
220665,0
120276,0
161900,0
135727,0
73896,0
214557,0
186406,0
182906,0
150117,0
280417,0
140803,0
16007,0
35104,0
281318,0
375450,0
141498,0
14380,0
314359,0
300323,0
317754,0
97069,0
6288,0
361955,0
102480,0
376840,0
149457,0
326422,0
270090,0
115957,0
213616,0
211706,0
225510,1
349446,0
7118,0
292657,0
130155,0
330181,0
196872,0
303521,0
327827,0
45631,0
27346,0
303950,0
37108,0
95304,1
50372,0
93966,0
23896,0
166002,0
339211,0
210562,0
304291,0
92994,0
343238,0
209813,0
194005,0
339217,0
310690,1
180863,0
121567,0
341510,0
88095,0
328603,0
151364,0
5877,0
43855,0
286392,0
163651,0
291350,0
168794,0
112905,0
205674,0
127569,0
83425,0
95187,0
116993,0
337195,0
50579,0
317921,0
99694,0
28542,0
22918,0
143631,0
241341,0
88597,0
84493,0
153875,0
123506,0
134735,0
344261,0
5762,0
382871,0
41896,0
144049,0
138121,0
351372,0
365626,0
227982,0
363612,0
174460,0
360861,0
22512,0
64753,0
259675,0
243977,0
362616,0
201257,0
100811,0
268063,0
381254,0
113341,0
160192,0
309955,0
168066,0
358551,0
115520,0
386154,0
311673,0
264266,0
192744,0
96321,0
358918,0
355981,0
112118,0
104765,0
129202,0
391446,0
244252,1
294225,0
143160,0
143385,0
286302,0
289361,0
270835,0
55664,0
342476,0
253891,0
233946,0
259721,0
57403,0
381780,0
190330,0
141486,0
100039,0
130356,0
62872,0
320204,0
166832,0
219967,0
283494,0
391225,0
360674,0
311672,0
21353,0
50120,0
43144,0
120835,0
371261,0
361596,0
352182,0
154922,0
147044,0
24097,0
78084,0
49916,0
82651,0
50614,0
209537,0
283547,0
98610,0
179205,0
358631,0
65244,0
189304,0
243532,0
27868,0
378553,0
166529,0
11124,0
372555,0
179553,0
146559,0
169030,0
355347,0
42833,0
348930,0
10437,0
384734,0
203753,0
372043,0
149049,0
313994,0
288272,0
223655,0
324274,0
72325,0
375505,0
329485,0
162332,0
280575,0
312219,0
175499,0
236891,0
266596,0
154024,0
249231,0
373286,0
161514,0
56788,0
270469,0
248531,0
346054,0
390069,0
181549,0
163189,0
334848,0
259058,0
200031,0
65076,0
7262,0
23174,0
317469,0
20062,0
29616,0
24411,0
323355,0
210542,0
43076,0
325863,0
8006,0
310503,0
238734,0
364305,0
388213,0
327196,0
79839,0
41863,0
214800,1
343274,0
225830,0
268124,0
190167,0
92411,0
159950,0
58204,0
150872,0
285521,0
23093,0
25589,0
310467,0
108450,0
192623,0
86898,0
276280,0
55214,0
335597,0
367830,0
326131,0
3083,0
219141,0
60264,0
130824,0
310410,0
278729,0
198183,0
146491,0
195367,0
50793,0
374526,0
275094,0
66399,0
142600,0
24367,0
33132,0
218391,0
304973,0
175686,0
383188,0
319323,0
15565,0
36860,0
306351,0
271162,0
340609,0
155005,0
69855,0
347977,0
35592,0
84951,0
317466,0
267724,0
151677,0
321046,0
47478,0
323906,0
138397,0
8811,0
116987,0
95972,0
332650,0
352199,0
109420,0
320880,0
245691,0
112338,0
298437,0
104033,0
369723,0
272579,0
275781,0
3953,0
211139,0
304688,0
152622,0
270758,0
108796,0
134987,0
295603,0
155925,0
88773,0
5308,0
372997,0
311096,0
311552,0
286571,0
358655,0
85164,0
313435,0
301228,0
365857,0
81845,0
89210,0
330408,0
333711,0
29553,0
375945,0
168113,0
125648,0
243873,0
144689,0
223385,0
51745,0
135985,0
209614,0
261797,0
293984,0
316204,0
180226,0
190389,0
327774,0
98443,0
338469,0
72066,0
116814,0
171521,0
306784,0
308863,0
317783,0
307163,0
223657,0
121617,0
303909,0
388433,0
346715,0
231245,0
342544,0
185541,0
237571,0
54855,0
373667,0
280564,0
323762,0
17051,0
265825,0
247201,0
387490,0
138178,0
375934,0
197595,0
67688,0
342639,0
239633,0
205463,0
66382,0
73629,0
375095,1
269662,0
95095,0
